"id","type","city","country","latitude","longitude","timezone","state","created_at","updated_at"
1,"city","Abbottabad","Pakistan","34.09","73.13","Asia/Karachi","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
2,"city","Abeokuta","Nigeria","7.1663","3.339844","Africa/Algiers","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
3,"city","Aberdeen","UK","57.1","-2.04","Europe/London","Scotland","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
4,"city","Abu Dhabi","UAE","24.469428","54.378076","Asia/Dubai","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
5,"city","Abuja","Nigeria","9.1","7.1","Africa/Algiers","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
6,"city","Accra","Ghana","5.512791","-0.20874","Europe/London","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
7,"city","Adelaide","Australia","-34.55","138.35","Australia/Adelaide","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
8,"city","Aden","Yemen","12.805221","45.026935","Africa/Addis_Ababa","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
9,"city","Ahmedabad","India","23.026054","72.599142","Asia/Kolkata","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
10,"city","Ahmedabad Vatwa","India","22.947335","72.622799","Asia/Kolkata","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
11,"city","Ahmednagar","India","19.096335","74.740012","Asia/Kolkata","Maharashtra","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
12,"city","Ajman","UAE","25.40801","55.437655","Asia/Dubai","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
13,"city","Ajmer","India","74.42","26.27","Asia/Kolkata","Rajasthan","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
14,"city","Akola","India","20.709619","76.98722","Asia/Kolkata","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
15,"city","Al Ain","UAE","24.226483","55.745573","Asia/Dubai","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
16,"city","Al-abrat (yemen)","Yemen","15.55273","48.51639","Africa/Addis_Ababa","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
17,"spot","Al-Husayni Masjid London","UK","51.542843","-0.364166","Europe/London","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
18,"city","Al-muzabeha & Zarma (yemenn)","Yemen","15.55273","48.51639","Africa/Addis_Ababa","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
19,"city","Albany","USA","42.39","-73.45","America/New_York","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
20,"city","Alexandria","UK","55.98225","-4.581299","Europe/London","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
21,"city","Aligrah","India","27.89381","78.06814","Asia/Kolkata","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
22,"city","Alirajpur","India","22.29996","74.35258","Asia/Kolkata","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
23,"city","Alote","India","23.7594","75.55494","Asia/Kolkata","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
24,"city","Alpharetta","USA","34.05","-84.18","America/New_York","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
25,"city","Altamonte Spr","USA","28.4","-81.22","America/New_York","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
26,"city","Amalner","India","21.041432","75.065341","Asia/Kolkata","Jalgaon","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
27,"city","Ambikapur","India","23.1","83.15","Asia/Kolkata","Chhattisgarh","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
28,"city","Ambilombe","Madagascar","-18.29","48.03","Africa/Addis_Ababa","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
29,"city","Amet","India","25.3056","73.92548","Asia/Kolkata","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
30,"city","Amjhera","India","22.55716","75.12064","Asia/Kolkata","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
31,"city","Amla-MP","India","21.56","78.07","Asia/Kolkata","MP","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
32,"city","Amman","Jordan","31.57","35.56","Asia/Jerusalem","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
33,"city","Amravati","India","20.934974","77.745824","Asia/Kolkata","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
34,"city","Amreli","India","21.37","71.14","Asia/Kolkata","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
35,"city","Amritsar","India","31.63","74.87","Asia/Kolkata","Punjab","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
36,"city","Amsterdam","Netherlands","52.22","4.53","Europe/Amsterdam","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
37,"city","Anchorage","USA","61.13","-149.54","America/Anchorage","AK","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
38,"city","Ankara","Turkey","39.55","32.5","Asia/Beirut","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
39,"city","Ann Arbor","USA","42.280674","-83.739981","America/New_York","MI","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
40,"city","Aoto, Tokyo","Japan","35.744653","139.854637","Asia/Tokyo","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
41,"city","Arlington - TX","USA","32.44","-97.06","America/Chicago","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
42,"city","Arusha","Tanzania","-3.22","36.41","Africa/Addis_Ababa","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
43,"city","Arvi","India","20.997329","78.226604","Asia/Kolkata","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
44,"city","Asansol","India","23.676054","86.97876","Asia/Kolkata","WB","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
45,"city","Ashta","India","23.02046","76.72103","Asia/Kolkata","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
46,"city","Athens","USA","39.2","-82.06","America/New_York","OH","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
47,"city","Atlanta","USA","33.45","-84.24","America/New_York","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
48,"spot","Atlanta - Qutbi Park","USA","33.91","-84.13","America/New_York","Georgia","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
49,"city","Auckland","New Zealand","-36.52","174.46","Pacific/Auckland","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
50,"city","Aurangabad","India","19.53","75.2","Asia/Kolkata","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
51,"city","Austin","USA","30.16","-97.45","America/Chicago","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
52,"city","Bad Aibling","Germany","47.863709","12.009859","Europe/Brussels","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
53,"city","Bad Weisse","Germany","47.72","11.72","Europe/Belgrade","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
54,"city","Badgaon","India","28.09001","76.12402","Asia/Kolkata","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
55,"city","Badin","Pakistan","24.39","68.5","Asia/Karachi","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
56,"city","Badnawar","India","23.02178","75.24207","Asia/Kolkata","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
57,"spot","Badri Mahal - Mumbai","India","18.5611","72.503","Asia/Kolkata","Maharashtra","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
58,"city","Bagasra","India","21.29","70.57","Asia/Kolkata","Gujarat","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
59,"city","Baghdad","Iraq","33.14","44.22","Africa/Addis_Ababa","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
60,"city","Bahrain","UAE","26.171666","50.529771","Asia/Dubai","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
61,"city","Bakersfield","USA","35.23","-119.1","America/Ensenada","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
62,"city","Balasinor","India","22.95185","73.33466","Asia/Kolkata","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
63,"city","Baltimore","USA","39.18","-76.67","America/New_York","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
64,"city","Bandarawela","Sri Lanka","6.8259","80.998104","Asia/Kolkata","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
65,"city","Bandra","India","19.05476","72.83087","Asia/Kolkata","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
66,"city","Bangalore","India","12.854649","77.590985","Asia/Kolkata","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
67,"city","Bangkok","Thailand","13.45","100.31","Asia/Bangkok","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
68,"city","Banswara","India","23.54054","74.44225","Asia/Kolkata","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
69,"city","Baramati","India","18.149141","74.572982","Asia/Kolkata","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
70,"city","Baran","India","25.09464","76.50942","Asia/Kolkata","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
71,"city","Bari Sadri","India","24.2454","74.2842","Asia/Kolkata","Rajasthan","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
72,"city","Barnagar","India","23.04693","75.37781","Asia/Kolkata","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
73,"city","Baroda","India","22.17","73.15","Asia/Kolkata","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
74,"city","Bartlett - IL","USA","42","-88.11","America/Chicago","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
75,"city","bartow","USA","27.880761","-81.968994","America/New_York","FL","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
76,"city","Barwaha","India","22.25023","76.03717","Asia/Kolkata","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
77,"city","Barwala","India","29.36568","75.90627","Asia/Kolkata","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
78,"city","Barwani","India","22.03632","74.90334","Asia/Kolkata","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
79,"city","Basingstoke","UK","51.27","-1.09","Europe/London","Hampshire","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
80,"city","Baton Rouge","USA","30.27","-91.09","America/Chicago","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
81,"city","Beau-Bassin","Mauritius","-20.226378","57.46581","Indian/Mauritius","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
82,"city","Beaumont","USA","30","-94.1","America/Chicago","TX","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
83,"city","Beijing","China","39.92","116.38","Asia/Hong_Kong","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
84,"city","Bergen","Norway","60.2","5.2","Europe/Brussels","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
85,"city","Berlin","Germany","52.3","13.22","Europe/Amsterdam","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
86,"city","Bern","Switzerland","46.57","7.26","Europe/Amsterdam","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
87,"city","Betul","India","21.902928","77.903827","Asia/Kolkata","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
88,"city","Bhabra","India","32.22887","73.21903","Asia/Kolkata","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
89,"city","Bhanpura","India","24.51318","75.74732","Asia/Kolkata","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
90,"city","Bharuch","India","21.71598","72.97739","Asia/Kolkata","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
91,"city","Bhavanimandi","India","24.416715","75.830206","Asia/Kolkata","Rajasthan","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
92,"city","Bhavnagar","India","21.77017","72.14292","Asia/Kolkata","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
93,"city","Bhayandar West","India","19.30364","72.84859","Asia/Kolkata","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
94,"city","Bhayander East","India","19.31053","72.86041","Asia/Kolkata","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
95,"city","Bhilwara","India","25.34625","74.63638","Asia/Kolkata","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
96,"city","Bhindar","India","24.43552","74.26421","Asia/Kolkata","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
97,"city","Bhiwandi","India","19.29756","73.05345","Asia/Kolkata","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
98,"city","Bhopal","India","23.231237","77.400098","Asia/Kolkata","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
99,"city","Bhopal (burhani Nagar)","India","23.231237","77.400098","Asia/Kolkata","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
100,"city","Bhubaneshwar","India","20.14","85.5","Asia/Kolkata","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
101,"city","Bhuj","India","23.16","69.4","Asia/Kolkata","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
102,"city","Bhusawal","India","21.04737","75.78766","Asia/Kolkata","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
103,"city","Biaora","India","23.91576","76.91776","Asia/Kolkata","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
104,"city","Bijapur","India","16.8","75.7","Asia/Kolkata","Karnataka","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
105,"city","Bilaspur","India","22.084906","82.156373","Asia/Kolkata","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
106,"city","Birmingham","UK","52.3","-1.5","Europe/London","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
107,"city","Birmingham - AL","USA","33.31","-86.48","America/Chicago","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
108,"city","Bishkek","Kyrgyzstan","42.88","74.77","Asia/Tashkent","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
109,"city","Blackburn - Lancashire","UK","53.45","-2.29","Europe/London","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
110,"city","Blackpool","UK","53.82","-3.01","Europe/London","England","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
111,"city","Blantyre","Malawi","-15.47","35","Africa/Blantyre","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
112,"city","Bloomington","USA","40.29","-89","America/Chicago","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
113,"city","Boise","USA","43.37","-116.12","America/Denver","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
114,"city","Bolton","UK","53.6","-2.43","Europe/London","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
115,"city","Borivali","India","19.23092","72.83973","Asia/Kolkata","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
116,"city","Boston","USA","42.21","-71.03","America/New_York","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
117,"spot","Boston-Qutbi Masjid","USA","42.58","-71.28","America/New_York","MA","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
118,"city","Bradford","UK","53.48","-1.45","Europe/London","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
119,"city","Brentwood","USA","37.9319","-121.6958","America/Los_Angeles","California","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
120,"city","Brighton","UK","50.5","0.08","Europe/London","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
121,"city","Brisbane","Australia","-27.4","153.1","Australia/Brisbane","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
122,"city","Brunei Darussalam","Brunei","4.56","114.55","Asia/Hong_Kong","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
123,"city","Brussels","Belgium","50.5","4.2","Europe/Brussels","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
124,"city","Buckshaw Village","UK","53.681414","-2.664045","Europe/London","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
125,"city","Budapest","Hungary","47.51","19.08","Europe/Belgrade","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
126,"city","Buffalo","USA","42.51","-78.43","America/New_York","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
127,"city","Bulverde","USA","29.747738","-98.5115","America/Chicago","TX","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
128,"city","Bundi","India","25.27","75.39","Asia/Kolkata","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
129,"spot","Burhani Masjid - Dubai","UAE","25.18","55.18","Asia/Dubai","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
130,"spot","Burhani Masjid - Sharjah","UAE","25.352778","55.397778","Asia/Dubai","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
131,"city","Burhanpur","India","21.335805","76.225623","Asia/Kolkata","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
132,"city","Burlington","USA","44.29","-73.13","America/New_York","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
133,"city","Cairo","Egypt","30.068152","31.255696","Africa/Cairo","Egypt","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
134,"city","Calgary","Canada","51.03","-114.05","America/Denver","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
135,"city","Calicut","India","11.15","75.46","Asia/Kolkata","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
136,"city","Cambridge","UK","52.13","0.08","Europe/London","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
137,"city","Cameron","USA","39.44","-94.14","America/Chicago","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
138,"city","Canberra","Australia","-35.17","149.08","Australia/Hobart","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
139,"city","Cape Town","South Africa","-33.55","18.22","Africa/Blantyre","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
140,"city","Cardiff","UK","51.29","-3.13","Europe/London","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
141,"city","Chalala","India","21.4","71.16","Asia/Kolkata","Gujrat","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
142,"city","Champaign","USA","40.11","-88.23","America/Chicago","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
143,"city","Chandrapur","India","19.947862","79.300641","Asia/Kolkata","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
144,"city","Chandur Bazar","India","21.237864","77.746449","Asia/Kolkata","Maharashtra","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
145,"city","Chandur Railway","India","20.809598","77.980614","Asia/Kolkata","Maharashtra","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
146,"city","Charlotte","USA","35.236646","-80.76599","America/New_York","NC","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
147,"city","Chatham","Canada","42.24","-82.12","America/New_York","ON","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
148,"city","Chechat","India","24.764802","75.887976","Asia/Kolkata","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
149,"city","Chennai","India","13.08","80.19","Asia/Kolkata","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
150,"city","Cherry Hill","USA","39.56","-75.02","America/New_York","NJ","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
151,"city","Chester","UK","53.191225","-2.892151","Europe/London","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
152,"city","Chhota Udaipur","India","27.72176","75.4691","Asia/Kolkata","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
153,"city","Chhoti Sadri","India","24.23","74.42","Asia/Kolkata","Rajasthan","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
154,"city","Chicago","USA","41.52","-87.38","America/Chicago","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
155,"spot","Chicago Masjid","USA","41.725626","-87.945634","America/Chicago","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
156,"city","Chinle","USA","36.15","-109.58","America/Phoenix","AZ","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
157,"city","Chiredzi","Zimbabwe","-20.82608","31.9657","Africa/Blantyre","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
158,"city","Chirundu Border Post","Zambia","-16.01","28.89","Africa/Cairo","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
159,"city","Chital","India","21.741563","71.207371","Asia/Kolkata","Gujrat","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
160,"city","Chittagong","Bangladesh","22.2","91.5","Asia/Dhaka","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
161,"city","Cincinatti","USA","39.1","-84.27","America/New_York","OH","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
162,"city","City of London","UK","51.512307","-0.091417","Europe/London","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
163,"city","Cleveland","USA","41.3","-81.42","America/New_York","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
164,"city","Clifton","USA","40.9","-74.2","America/New_York","NJ","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
165,"city","Clonmel","Ireland","52.21","-7.42","Europe/Amsterdam","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
166,"city","Cochin","India","9.93963","76.2595","Asia/Kolkata","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
167,"city","Coimbatore","India","11","77","Asia/Kolkata","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
168,"city","Collingwood","Canada","44.50024","-80.216331","America/New_York","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
169,"city","Colombo","Sri Lanka","6.56","79.51","Asia/Kolkata","","2024-08-15 19:35:35.985794","2024-08-15 19:35:35.985794"
