id,date,month,description,name,location,phase,type,html,date_night,month_night,is_night,priority,important,old_name,processed
2,1,1,Khambat India,Urs Maulai Abdullah Saheb AQ,Khambhat,DAY,URS,"<ul><li><span >Imam Mustansir Billah ( a.s. ) [427-487] na zaman ma aap ye Hindustan ma be ( 2 ) Dai ne HiDAYat vaste mokla: Maulai Abdullah ane Maulai Ahmed.</span></li><li><span >Beve sahebo Gujarat na Khambat mukame muqim thaya. [ 467 H.]</span></li><li><span >Maulai Abdullah ye ghana Jain ane Hindu logo sathe behas kari, Mojeza bataya,1, Sidhpur ane Kauka, Pisawara na Ilaka ma phelai. Aasre 25000 logo ye Dawat ne javab dido.</span></li><li><span >Saghla karta pehla Khambat na Kumbi cast na Kaka Akela, ane Kaki Akela iman laya. {Kuva no mojezo}</span></li><li><span >Te baad Naagar Cast na ghana logo ye javab dido. Patan na Raja Sidhraj Jaisinh ane ehna be vazir Tarmal ane Bharmal ni madad rahi. Ye sahebo ye bhi Dawat no javab dido.</span></li><li><span >Maulai Abdullah 1 Moharramul Haram na din vafat thaya. Aap na mazar Khambat ma chhe. [Urs 16 Moharram manave chhe.] &#xA0;</span></li><li><span >Aap ye Vazir Bharmal na farzand Maulai Yaqub ne Hind na Vaali banaya. Dawat nu markaz have Patan ma qayam thayu.</span></li><li><span >Maulai Abdullah ni nasal ma Doat ane Hudud Fozalah thaya. Dail Ajal Syedna Qasim Zainuddin [r.a] ( 31 ma dai ) , Maulai Hasanfir bin Ali , ane bija hudud aap ni nasal ma si chhe.</span></li></ul>",29,12,True,,False,Urus Mawlai Abdullah Saheb,True
3,2,1,Ahmedabad,Urs Maulai Raj Bin Maulai Hasan Saheb,Ahmedabad,DAY,URS,"<ul><li>Moulai Hasan (a.q.) bin Moulai Adam (a.q.) na baad&nbsp;Maulai Raj&nbsp;bin Moulai Hasan Shaheed (a.q.), Hind na vaali thaya.</li><li>Aap nu laqab Shujauddin hatu,1, magar tamne hiDAYat aapva vaste aayo chhun. Aap ye mumin ne samjhavta, hiDAYat deta, ane aap ni aa mehnat na sabab hazaro Mumineen deen taraf pachha vala.</li><li>Moulai Raj bin Dawood -Soni (a.q.) , ane aap na farzand Shaikh Jafar Saheb (a.q.), aap ni muavin ma rehta.</li><li>Dushmano ye aap par ghano zulm kido. Aap no maal, ghar ane asbaab saghlu looti lidu. Baytul maal chhini lido. Aap ne qaid kida.</li><li>904 H. ma aa fasaad babat Yemen si 20ma Dai, Dail Ajal Syedna Hasan Badruddin (r.a.) no ek kagaz lakhayelo chhe, je ma aap ye Maulai Raj (a.q.) ne ghano hoslo aapo chhe.</li><li>Aakhir ma Dushmano aap par tuti para ane aap na tukre tukra kari dida. Aap 2 Moharram 925H. na din shaheed thaya. Aap na sabab Haq nu raj baqi chhe.</li><li>Al Hayyul Muqaddas Syedna Mohammed Burhanuddin Aqa (RA) aksar farmavta ke jo Maulai Raj na hota to apan Mumineen kahan hota? Maula Lukmanji bin Habibullah (a.q.) [ madfoon-Surat], aap ni qabr par Sajdo karta. Huzur-e-Aala (tus) aap ni qabr par sajdo kari ziyarat kare chhe.&nbsp;</li></ul>",1,1,True,,False,Urus Mawlai Raj Bin Mawlai Hasan Saheb,True
4,2,1,Udaipur,Urs Syedi Khanji Feer Saheb AQ,Udaipur,DAY,URS,"<ul><li>Syedi Khanji Feer Saheb A.Q. Syedi Fakhruddin Shaheed A.Q ni nasaal ma si che.</li><li>Aap ye&nbsp;34ma Dai Syedna Ismail Bdruddin si 37ma Dai Syedna Noor Mohammed Nooruddin R.A&nbsp;tak 4 doat khidmat kidi chhe.</li><li>Aap Syedna Ismail Badruddin Saheb R.A ni hazarat ma ilm leva aaya tha. Jahan Dai sabaaq parhavta hata, te jagah na najdeek ghani badbu (foul smell) aavti hati.&nbsp;Syedi Khanji Feer Saheb A.Q&nbsp;khud te jagah ni safai kidi. Dai ne khabar pari tevare gahna khush thaya.</li><li>ilm ma aaleem tha. ghana olomas ne taiyar kida. Tema Syedi AbdulQadir Hakimuddin A.Q. Syedi Lukmanji bin Habibullah A.Q ane Syedi Hasanji Badshah bhi hata.</li><li>Aap hamesha awwal waqt ma namaaz vaste masjid ma padharta,1, ane 80 varas ni umare udaipur ma 2nd moharram&nbsp;1118H. 1706 A.D aap wafat thaya. Aap ni qabr par Aalishan qubbat bana hua che.</li><li>Aap ni dikri fatema Behen, ane aap na pota ahemdji ni qabr aap na qubbat ma chhe.</li></ul>",1,1,True,,False,Urs Syedi Khanji Feer Saheb AQ,True
5,2,1,Jamnagar,Urs Syedi Shaikh Feer Jamaluddin AQ bin Mulla Mohammed Ali AQ,Jamnagar,DAY,URS,"<ul><li>Syedi Sheikh Feer Jamaluddin, (a.q.)&nbsp;na maa saheba [Managori Baisaheba ( Shauhar- Firji bin Jaafar a.q.,1, Syedna Hasan Badruddin saheb r.a. na zaman [ 940 H.] ma aap Dhrangdhra padhara.</li><li>Ek arsa tak aap vahan rahya, ane 24ma Dai Syedna Yusuf Najmuddin Saheb r.a. na farman si aap Jamnagar padhara. Yahan Mumineen nu vasvanu have shuru thayu. Syedna Yusuf Najmuddin Saheb r.a. ye aap ne halaar [aaj nu Saurashtra] na vaali banaya.</li><li>Aap aalim tha. Aap nu laqab Jamaluddin thu. Syedna Hasan Badruddin r.a. si Syedna Dawood bin Qutubshah [r.a.] tak 8 Doat ni aap ye khidmat kidi. Syedna Dawood bin Qutubshah [r.a.] ye aap ne Rasul Hudud banaya.</li><li>Jamnagar ma aap Vali-e-Hind, Maulai Adam ane Maulai Raj na muavin rahya. Jamnagar ma aap nu makan aaj bhi maujud chhe, ane aap na naam si Mohallo aabad chhe. Mohalla ni masjid aap ye banavi chhe. Masjid na minara ajab shaan na chhe.</li><li>998H. ma aap Amirul Haj hata. Haj si farig thai, Ahmedabad, Syedna Dawood bin Qutubshah r.a. ni hajrat ma aaya, ane vahan si Jamnagar padhara, ane vahan aap wafat thaya.</li><li>Aap ni umar 100 varas ni hati.</li><li>Aap na Qubba Syedna Taher Saifuddin r.a. na zaman ma,1365 H. ma tameer thaya.</li></ul>",1,1,True,,False,Urs Syedi Shaikh Feer Jamaluddin AQ bin Mulla Mohammed Ali AQ,True
6,6,1,KapadWanj,Urs Syedi Mohammed Bin Qazikhan,Kapadvanj,DAY,URS,<ul><li>Syedna Dawood bin Ajabshah ane Syedna Dawood bin Qutubshah r.a. na Zaman ma Kapadvanj na aamil hata.</li><li>Bewe Dai aap na haath par varamvar Kapadvanj padhara chhe. Kapadvanj na mumineen ye beve Dai ni ghani khidmat kidi chhe.</li><li>Aap ikhlas ane safaa na saheb tha. Hamesha Dai ni khidmat ma rehta. Syedi Khoj bin Malek Saheb na aap ustad hata.</li><li>Gujarat ma Sultan Muzaffar no zaman hato. Mumineen ne ghani takalif hati. Aap ye te duur karva ghani mehnat kidi hati.</li><li>Aap 6 Moharram vafat thaya che. Aap na Qubba Kapadvanj ma&nbsp;Syedi Khoj bin Malek na roza si aagal jaata aave chhe. baju ma masjid chhe.</li></ul><p><br></p>,5,2,True,,False,Urs Syedi Mohammed Bin Qazikhan,
7,7,1,38th al-Dai al-Mutlaq,"Urs Mubarak, Syedna Ismail Badruddin RA","Jamnagar, India",DAY,URS,"",6,,True,,False,,True
8,10,1,,Ashura No Din,,DAY,SHAHADAT,,,,False,,False,,True
9,10,1,"2nd Imam, Karbala, Iraq.",Shahadat Imam Hasan SA,Madina,DAY,SHAHADAT,,,,True,,True,Shahadat Imam Hasan SA,
10,10,1,1st al-Dai al-Mutlaq,"Urs Mubarak, Syedna Zoeb bin Moosa RA",Yemen,DAY,URS,"<ul><li>Syedna Zoeb bin Moosa Alvadei,1, kem ke kitabo ma si asrar [ secrets ] nikali aap ye bayan kida chhe. Aap ye likhela kitabo ma "" Kitabun Nafse fi Marefatul Jussat"" ane ""Risalatul Harje fi Marefatul Mavjudaat"" chhe.</li><li>Mazoon-e- Dawat Syedna Khattab bin Hasan (r.a.), ane Mukasire Dawat Syedna Ibrahim bin Hasan Alhamedi (r.a.) hata.</li><li>Aap Haus ( north of Sana'a) ma muqeem hata. Vahan aap ni banaveli ek Masjid chhe, je ne Syedna Mohammed Burhanuddin Aqa (R.A) ye az sare nav tameer farmavi chhe. Aa masjid Jamea Anwar no namuno chhe.</li><li>14 saal tak aap ye Dawate Fatemi na aalam buland kida.&nbsp;</li><li>10 Moharram 546 H. Haus ma aap Vafat thaya.</li><li>Syedna Ibrahim bin Husain, Alhamedi r.a. par aap ye nas farnavi.</li></ul>",9,1,True,,False,Urs Syedna Ali bin Mohammed Sulaihi RA,True
11,10,1,,Urs Maulai Ahmed Saheb AQ,Khambhat,DAY,URS,<p>NA</p>,9,2,True,,False,Urs Maulai Ahmed Saheb AQ,
