"id","name","description","audio","pdf","youtube","album","metadata","created_at","updated_at","tags","categories"
4,"Dua e Kamil","Dua e Kamil","https://mybohra-media.s3.ap-south-1.amazonaws.com/dua-e-kaamil.mp3","https://mybohra-media.s3.ap-south-1.amazonaws.com/dua-e-kamil.pdf",NULL,"DUA","{}","2024-08-27 22:31:48.079119","2025-09-16 18:18:50.339658","{}","{daily-dua}"
5,"Dua Ul Kumayl","Dua","https://d39et5l23mq79j.cloudfront.net/dua-ul-kumayl.mp3","https://d39et5l23mq79j.cloudfront.net/dua-ul-kumayl.pdf",NULL,"DUA","{""pdfSize"": 9147, ""audioSize"": 6852, ""thumbnail"": ""https://s3.ap-south-1.amazonaws.com/mumino-files/dua-ul-kumayl.png"", ""audioLength"": 1751256, ""pdfPageCount"": 0}","2024-08-28 03:02:17.528052","2024-08-29 14:41:45.546145","{}","{}"
6,"Nasrul Mahaba","Dua","https://d39et5l23mq79j.cloudfront.net/nasrul-mahaba.mp3","https://d39et5l23mq79j.cloudfront.net/nasrul-mahaba.pdf",NULL,"DUA","{""pdfSize"": 16474, ""audioSize"": 5752, ""audioLength"": 1959732, ""pdfPageCount"": 0}","2024-08-28 03:02:17.528052","2024-09-04 19:23:21.964051","{}","{}"
8,"Moti Us Sawalat","Dua","https://d39et5l23mq79j.cloudfront.net/moti-us-sawalat.mp3","https://d39et5l23mq79j.cloudfront.net/moti-us-sawalat.pdf",NULL,"DUA","{""pdfSize"": 146, ""audioSize"": 2297, ""audioLength"": 98011, ""pdfPageCount"": 0}","2024-08-28 03:02:17.528052","2024-08-29 19:51:37.742257","{}","{}"
9,"Dua Us Saify","Dua","https://d39et5l23mq79j.cloudfront.net/dua-us-saify.mp3","https://mybohra-media.s3.ap-south-1.amazonaws.com/pdf/Dua%20Saify.pdf",NULL,"DUA","{}","2024-08-28 03:02:17.528052","2025-09-16 21:20:19.734912","{}","{}"
10,"Ramzan Dua","Dua","https://d39et5l23mq79j.cloudfront.net/ramzan-dua.mp3","",NULL,"DUA","{""audioSize"": 6179, ""audioLength"": 393587, ""pdfPageCount"": 0}","2024-08-28 03:02:17.528052","2024-08-29 21:54:38.906422","{}","{}"
11,"Khatmul Quran ni Dua","Dua","https://d39et5l23mq79j.cloudfront.net/khatmul-quran-ni-dua.mp3","https://mybohra-media.s3.ap-south-1.amazonaws.com/pdf/khatmul%20Quran.pdf",NULL,"DUA","{}","2024-08-28 03:02:17.528052","2025-09-16 18:36:26.832811","{}","{}"
12,"Nahjus Sanaa","Dua","https://d39et5l23mq79j.cloudfront.net/sanaa.mp3","https://d39et5l23mq79j.cloudfront.net/sanaa.pdf",NULL,"DUA","{""pdfSize"": 7356, ""audioSize"": 21902, ""audioLength"": 1403794, ""pdfPageCount"": 0}","2024-08-28 03:02:17.528052","2024-08-28 21:10:34.00181","{}","{}"
13,"Allahuma Hazaa Shahro Ramazaan","Dua","https://d39et5l23mq79j.cloudfront.net/allahuma-hazaa-shahro-ramazaan.mp3","https://d39et5l23mq79j.cloudfront.net/allahuma-hazaa-shahro-ramazaan.pdf",NULL,"DUA","{""pdfSize"": 866, ""audioSize"": 134, ""thumbnail"": ""https://s3.ap-south-1.amazonaws.com/mumino-files/allahuma-hazaa-shahro-ramazaan.png"", ""audioLength"": 58096, ""pdfPageCount"": 0}","2024-08-28 03:02:17.528052","2024-08-29 14:41:45.45697","{}","{}"
14,"Maulaya Maulaya Antal Maula","Dua","https://d39et5l23mq79j.cloudfront.net/maulaya-maulaya-antal-maula.mp3",NULL,NULL,"DUA","{""audioSize"": 258, ""audioLength"": 62380, ""pdfPageCount"": 0}","2024-08-28 03:02:17.528052","2024-08-28 03:02:17.528052","{}","{}"
