"id","name","text","arabic_text","image","audio","description","count","created_at","updated_at","type","tags"
1,"Ya Allah","Ya Allah","يا الله",NULL,NULL,NULL,0,"2024-09-25 19:38:21.151458","2024-09-26 15:00:56.898765","MISC","{}"
2,"Ya Mohammad","Ya Mohammad","يا محمد",NULL,NULL,NULL,0,"2024-09-26 20:24:21.719335","2024-09-26 20:24:21.719335","MISC","{}"
3,"Ya Ali","Ya Ali","يا علي",NULL,NULL,NULL,0,"2024-09-26 20:26:36.245572","2024-09-26 20:26:36.245572","MISC","{}"
4,"Ya Fatema","Ya Fatema","يا فاطمة",NULL,NULL,NULL,0,"2024-09-26 20:26:56.339564","2024-09-26 20:26:56.339564","MISC","{}"
5,"Ya Hasan","Ya Hasan","يا حسن",NULL,NULL,NULL,0,"2024-09-26 20:27:16.135279","2024-09-26 20:27:16.135279","MISC","{}"
6,"Ya Hussain","Ya Hussain","يا حسين",NULL,NULL,NULL,0,"2024-09-26 20:27:31.849941","2024-09-26 20:27:31.849941","MISC","{}"
7,"Ya Tayib","Ya Tayib","يا طيبة",NULL,NULL,NULL,0,"2024-09-26 20:27:55.633154","2024-09-26 20:27:55.633154","MISC","{}"
8,"Ya Taher","Ya Taher","يا طاهر",NULL,NULL,NULL,0,"2024-09-26 20:28:14.013298","2024-09-26 20:28:14.013298","MISC","{}"
9,"Alhamdullilah","Alhamdullilah","الحمد لله",NULL,NULL,NULL,0,"2024-09-26 21:04:16.047273","2024-09-26 21:05:26.051942","MISC","{}"
10,"Alhamdullilah ShukranLilah","Alhamdullilah ShukranLilah","الحمد لله، شكرا لك",NULL,NULL,NULL,0,"2024-09-27 18:19:22.048084","2024-09-27 18:22:55.640034","MISC","{}"
11,"Subhanallah","Subhanallah","سبحان الله",NULL,NULL,NULL,0,"2024-09-27 18:24:10.485775","2024-09-27 18:24:10.485775","MISC","{}"
12,"Monday","Monday","يَا غَفُوْرُ يَا رَحِيمُ",NULL,NULL,NULL,100,"2024-09-27 18:54:06.940629","2024-09-27 18:56:20.144355","DEENI","{}"
13,"Tuesday",NULL,"سُبْحَانَ اللَّهِ وَالْحَمْدُ لِلَّهِ",NULL,NULL,NULL,100,"2024-09-27 18:56:35.767884","2024-09-27 18:56:35.767884","DEENI","{}"
14,"Wednesday",NULL,"يَا رَحْمَنُ يَا رَحِيمُ",NULL,NULL,NULL,100,"2024-09-27 18:57:13.84137","2024-09-27 18:57:13.84137","DEENI","{}"
15,"Thursday",NULL,"حَسْبُنَا اللَّهُ وَنِعْمَ الْوَكِيلُ",NULL,"",NULL,100,"2024-09-27 18:57:40.097233","2024-09-27 18:57:40.097233","DEENI","{}"
16,"Friday",NULL,"يَا ذَا الْجَلَالِ وَالْإِكْرَامِ",NULL,NULL,NULL,100,"2024-09-27 19:03:03.964969","2024-09-27 19:03:03.964969","DEENI","{}"
17,"Saturday",NULL,"يَا حَيُّ يَا قَيُّومُ",NULL,NULL,NULL,100,"2024-09-27 19:03:33.158682","2024-09-27 19:03:33.158682","DEENI","{}"
18,"Sunday","","إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِيْنُ",NULL,NULL,NULL,100,"2024-09-27 19:05:50.513203","2024-09-27 19:05:50.513203","DEENI","{}"
19,"Allahu Akbar","Allahu Akbar","الله أكبر",NULL,NULL,NULL,0,"2024-09-27 19:23:05.066156","2024-09-27 19:23:05.066156","MISC","{}"
20,"Astagfirullah","Astagfirullah","أستغفر الله",NULL,NULL,NULL,0,"2024-09-27 19:23:23.816803","2024-09-27 19:23:23.816803","MISC","{}"
21,"Black Magic","","وَقُلْ رَّبِّ أَعُوذُ بِكَ مِنْ هَمَزَاتِ الشَّيَاطِينِ ، وَأَعُوذُ بِكَ رَبِّ أَن يَحْضُرُونِ","https://mybohra-media.s3.ap-south-1.amazonaws.com/tasbeeh/images/21",NULL,NULL,110,"2024-09-27 19:25:06.507934","2025-09-10 20:11:04.770402","OTHER","{}"
22,"Har Kaam Ma Sahel Thai",NULL,NULL,"https://mybohra-media.s3.ap-south-1.amazonaws.com/tasbeeh/images/22",NULL,NULL,110,"2024-09-27 20:01:08.003885","2025-09-10 20:11:58.88966","OTHER","{}"
23,"Ghabarat / Anxiety",NULL,NULL,"https://mybohra-media.s3.ap-south-1.amazonaws.com/tasbeeh/images/23",NULL,NULL,110,"2024-09-28 18:50:34.111264","2025-09-10 20:10:04.403554","OTHER","{}"
24,"Farzand Ne Nazar si Bachawa",NULL,NULL,"https://mybohra-media.s3.ap-south-1.amazonaws.com/tasbeeh/images/24",NULL,NULL,110,"2024-09-28 19:13:46.082291","2025-09-10 20:12:16.982302","OTHER","{}"
25,"Nazar Waste",NULL,NULL,"https://mybohra-media.s3.ap-south-1.amazonaws.com/tasbeeh/images/25",NULL,NULL,40,"2024-09-28 19:22:01.673825","2025-09-10 20:12:09.838581","OTHER","{}"
28,"Har Kaam ma Sehlai Thai",NULL,NULL,"https://mybohra-media.s3.ap-south-1.amazonaws.com/tasbeeh/images/28",NULL,NULL,110,"2024-09-28 19:32:46.928778","2025-09-10 20:09:49.916533","OTHER","{}"
32,"Har din Fajar na Waqat",NULL,NULL,"https://mybohra-media.s3.ap-south-1.amazonaws.com/tasbeeh/images/32",NULL,NULL,-1,"2024-09-28 19:32:46.928778","2025-09-10 19:46:22.689104","OTHER","{}"
33,"Pag na Dard Waaste Ane Uthwa Bethwa Ni Taklif Waaste",NULL,NULL,"https://mybohra-media.s3.ap-south-1.amazonaws.com/tasbeeh/images/33",NULL,NULL,0,"2024-09-28 19:32:46.928778","2025-09-10 20:13:04.808541","OTHER","{}"
34,"Ankh Waaste Tasbih",NULL,NULL,"https://mybohra-media.s3.ap-south-1.amazonaws.com/tasbeeh/akh-waste_enhanced.jpg",NULL,NULL,-1,"2024-09-28 19:32:46.928778","2025-08-28 20:40:26.63161","OTHER","{}"
35,"Koi bhi Zakham Laago Hoi",NULL,NULL,"https://mybohra-media.s3.ap-south-1.amazonaws.com/tasbeeh/images/35",NULL,NULL,110,"2024-09-28 19:32:46.928778","2025-09-10 19:47:56.652545","OTHER","{}"
36,"Ilm parwa ma Yaari Mile ane Imtehan Ma Madad mile",NULL,NULL,"https://mybohra-media.s3.ap-south-1.amazonaws.com/tasbeeh/images/36",NULL,NULL,40,"2024-09-28 19:32:46.928778","2025-09-10 19:48:54.92075","OTHER","{}"
